timestamp,x,y,z
1692090399392,-0.6000000000000001,0.1,9.600000000000001
1692090399413,-0.6000000000000001,0,9.700000000000001
1692090399429,-0.6000000000000001,0.1,9.600000000000001
1692090399445,-0.6000000000000001,0,9.5
1692090399461,-0.6000000000000001,0.1,9.600000000000001
1692090399477,-0.6000000000000001,-0.1,9.5
1692090399493,-0.6000000000000001,0,9.600000000000001
1692090399509,-0.8,0.1,9.5
1692090399533,-0.4,0,9.5
1692090399549,-0.5,-0.1,9.700000000000001
1692090399560,-0.5,0,9.3
1692090399581,-0.5,0,9.700000000000001
1692090399597,-0.8,-0.30000000000000004,10.3
1692090399610,-0.7000000000000001,-0.5,11.100000000000001
1692090399629,-1.3,0.30000000000000004,13.5
1692090399645,-2,0,14
1692090399661,-2.6,-1.5,13.9
1692090399677,-2.3000000000000003,-1.3,13
1692090399693,-1.7000000000000002,-0.4,11.600000000000001
1692090399709,-1.8,0.2,11.200000000000001
1692090399733,-2.3000000000000003,-0.4,12.100000000000001
1692090399749,-2.8000000000000003,-1.6,6.800000000000001
1692090399765,-4.1000000000000005,-2.1,1.6
1692090399781,-5.300000000000001,-1.3,1.7000000000000002
1692090399797,-6.6000000000000005,-2.5,1.2000000000000002
1692090399813,-8.9,-2,3.3000000000000003
1692090399829,-10.600000000000001,1.3,-0.5
1692090399845,-5,1.7000000000000002,-0.8
1692090399861,-7.5,-0.7000000000000001,-0.5
1692090399877,-9.700000000000001,-1.6,-0.7000000000000001
1692090399893,-9.1,-1.7000000000000002,-0.7000000000000001
1692090399909,-7.7,-1.2000000000000002,-0.7000000000000001
1692090399933,-4.9,0,0.1
1692090399949,-3.4000000000000004,0.1,0.4
1692090399965,-0.2,0.1,1.1
1692090399981,3.2,-0.4,1.7000000000000002
1692090399998,5.4,-0.4,1.8
1692090400013,8.8,-5.1000000000000005,-14.3
1692090400029,29,0.6000000000000001,-78.4
1692090400045,1.9000000000000001,-0.8,5.7
1692090400061,-0.6000000000000001,-0.6000000000000001,-10.9
1692090400077,-1.6,-1.7000000000000002,-9.700000000000001
1692090400093,0.2,-0.30000000000000004,-10.8
1692090400109,-0.1,-0.4,-10.9
1692090400133,-0.30000000000000004,-0.5,-10.200000000000001
1692090400149,-0.4,-0.6000000000000001,-9.9
1692090400166,-0.4,-0.6000000000000001,-10
1692090400181,-0.4,-0.6000000000000001,-10.100000000000001
1692090400197,-0.4,-0.6000000000000001,-10.100000000000001
1692090400213,-0.4,-0.6000000000000001,-9.9
1692090400229,-0.4,-0.5,-10.100000000000001
1692090400245,-0.4,-0.6000000000000001,-10
1692090400261,-0.4,-0.6000000000000001,-10.100000000000001
1692090400277,-0.30000000000000004,-0.5,-10
1692090400293,-0.4,-0.6000000000000001,-10
1692090400309,-0.4,-0.6000000000000001,-10.100000000000001
1692090400333,-0.4,-0.5,-10
1692090400349,-0.30000000000000004,-0.5,-10.100000000000001
1692090400365,-0.4,-0.6000000000000001,-10
1692090400381,-0.4,-0.6000000000000001,-10
1692090400397,-0.5,-0.5,-10
1692090400413,-0.4,-0.5,-10
1692090400429,-0.30000000000000004,-0.5,-10.100000000000001
1692090400445,-0.4,-0.5,-10
1692090400461,-0.4,-0.6000000000000001,-10
1692090400477,-0.5,-0.7000000000000001,-10.100000000000001
1692090400493,-0.4,-0.6000000000000001,-10.100000000000001
1692090400509,-0.4,-0.6000000000000001,-10
1692090400533,-0.4,-0.6000000000000001,-10.100000000000001
1692090400549,-0.4,-0.5,-10
1692090400565,-0.30000000000000004,-0.6000000000000001,-10
1692090400581,-0.4,-0.5,-10
1692090400598,-0.5,-0.6000000000000001,-10.100000000000001
1692090400613,-0.4,-0.6000000000000001,-10
1692090400629,-0.4,-0.6000000000000001,-10
1692090400645,-0.4,-0.6000000000000001,-10.100000000000001
1692090400661,-0.4,-0.5,-10
1692090400677,-0.4,-0.5,-10.100000000000001
1692090400693,-0.4,-0.6000000000000001,-10
1692090400709,-0.4,-0.6000000000000001,-10
1692090400733,-0.4,-0.7000000000000001,-10
1692090400750,-0.4,-0.6000000000000001,-10.100000000000001
1692090400765,-0.4,-0.6000000000000001,-10.100000000000001
1692090400781,-0.4,-0.6000000000000001,-10
1692090400797,-0.4,-0.6000000000000001,-10
1692090400813,-0.4,-0.7000000000000001,-10.200000000000001
1692090400829,-0.4,-0.6000000000000001,-10
1692090400845,-0.30000000000000004,-0.6000000000000001,-10.100000000000001
1692090400861,-0.4,-0.5,-10
1692090400877,-0.5,-0.5,-10
1692090400893,-0.30000000000000004,-0.6000000000000001,-10.100000000000001
1692090400909,-0.4,-0.5,-10.100000000000001
1692090400933,-0.4,-0.6000000000000001,-10
1692090400949,-0.4,-0.6000000000000001,-10
1692090400966,-0.5,-0.6000000000000001,-10.100000000000001
1692090400981,-0.4,-0.5,-10
1692090400997,-0.4,-0.5,-10.100000000000001
1692090401013,-0.4,-0.6000000000000001,-10.100000000000001
1692090401029,-0.4,-0.5,-10
1692090401045,-0.4,-0.6000000000000001,-10
1692090401061,-0.4,-0.6000000000000001,-10
1692090401077,-0.4,-0.6000000000000001,-10
1692090401093,-0.4,-0.6000000000000001,-10.100000000000001
1692090401109,-0.30000000000000004,-0.6000000000000001,-10
