timestamp,x,y,z
1692090296168,6.5,-3.4000000000000004,5.1000000000000005
1692090296188,6,-3.4000000000000004,5.2
1692090296204,5.7,-3.3000000000000003,5.300000000000001
1692090296220,5.4,-3.2,5.300000000000001
1692090296236,5.2,-3.2,5.5
1692090296252,4.9,-3.1,5.7
1692090296268,4.800000000000001,-3.3000000000000003,5.800000000000001
1692090296292,4.7,-3.2,6.300000000000001
1692090296308,4.800000000000001,-3.1,7
1692090296324,4.9,-3,7.4
1692090296340,4.800000000000001,-3.2,7.5
1692090296356,4.800000000000001,-3.1,7.6000000000000005
1692090296372,4.800000000000001,-3.1,7.7
1692090296388,4.800000000000001,-3.4000000000000004,8.1
1692090296404,4.9,-3.2,8.3
1692090296420,4.9,-3.2,8.4
1692090296436,5,-3.3000000000000003,8.6
1692090296452,5.1000000000000005,-3.3000000000000003,8.6
1692090296476,4.7,-3.1,8.5
1692090296492,4.5,-3.2,8.5
1692090296508,4.2,-3.5,8.4
1692090296524,4.2,-3.3000000000000003,8.4
1692090296540,4.2,-3.2,8.4
1692090296556,4,-3.1,8.3
1692090296572,3.9000000000000004,-3.1,8.1
1692090296588,3.4000000000000004,-3.3000000000000003,8
1692090296604,3.3000000000000003,-3.4000000000000004,8.200000000000001
1692090296620,3.3000000000000003,-3.3000000000000003,8.1
1692090296636,3.5,-3.2,7.9
1692090296652,3.5,-3.1,7.6000000000000005
1692090296668,3.4000000000000004,-3.1,7.6000000000000005
1692090296692,3.5,-3.1,7.7
1692090296708,3.6,-3.1,8
1692090296724,3.8000000000000003,-3.1,8
1692090296740,4,-2.8000000000000003,7.800000000000001
1692090296756,4.2,-2.9000000000000004,7.7
1692090296772,4.3,-2.8000000000000003,7.7
1692090296788,4.3,-2.7,7.7
1692090296804,4.3,-2.7,7.7
1692090296820,4.2,-2.9000000000000004,7.7
1692090296836,4,-3,7.6000000000000005
1692090296852,3.9000000000000004,-3.1,7.6000000000000005
1692090296876,4.3,-2.9000000000000004,7.7
1692090296892,4.4,-2.8000000000000003,7.6000000000000005
1692090296908,4.6000000000000005,-2.7,7.5
1692090296924,4.6000000000000005,-2.7,7.5
1692090296940,4.4,-2.7,7.5
1692090296956,4.1000000000000005,-2.9000000000000004,7.6000000000000005
1692090296972,4.2,-2.9000000000000004,7.7
1692090296988,4.1000000000000005,-2.9000000000000004,7.6000000000000005
1692090297004,4.2,-3,7.6000000000000005
1692090297020,4.1000000000000005,-3.3000000000000003,7.5
1692090297036,4.2,-3.4000000000000004,7.800000000000001
1692090297052,4.3,-3.2,7.9
1692090297076,4.3,-3.2,8
1692090297092,4.4,-3.1,7.9
1692090297108,4.2,-3.3000000000000003,7.9
1692090297124,4.2,-3.2,8.1
1692090297140,4.2,-3.1,8
1692090297156,4.2,-3.2,8.1
1692090297172,4.1000000000000005,-3.1,8
1692090297188,4.1000000000000005,-3.2,8
1692090297204,4.1000000000000005,-3.2,8
1692090297220,4.1000000000000005,-3.1,7.9
1692090297236,4.2,-3.1,7.9
1692090297252,4.2,-3.3000000000000003,7.800000000000001
1692090297276,4.4,-3.4000000000000004,7.7
1692090297292,4.4,-3.3000000000000003,7.800000000000001
1692090297308,4.4,-3.4000000000000004,7.9
1692090297324,4.4,-3.4000000000000004,7.9
1692090297340,4.3,-3.3000000000000003,7.7
1692090297356,4.3,-3.5,7.5
1692090297372,4.5,-3.5,7.4
1692090297388,4.4,-3.5,7.4
1692090297404,4.3,-3.5,7.4
1692090297420,4.4,-3.5,7.4
1692090297436,4.5,-3.5,7.4
1692090297452,4.4,-3.6,7.4
1692090297476,4.3,-3.6,7.300000000000001
1692090297492,4.5,-3.5,7.1000000000000005
1692090297508,4.5,-3.4000000000000004,7.1000000000000005
1692090297524,4.5,-3.5,7.2
1692090297540,4.9,-3.7,7.6000000000000005
1692090297556,5,-3.7,7.7
1692090297572,5,-3.3000000000000003,7.4
1692090297588,4.9,-3.2,7.2
1692090297604,5,-3.4000000000000004,7
1692090297620,5.1000000000000005,-3.4000000000000004,7.300000000000001
1692090297636,5.2,-3.1,7.5
1692090297652,4.9,-2.7,7.2
1692090297676,4.6000000000000005,-2.3000000000000003,5.9
1692090297692,4.4,-2.2,4.5
1692090297708,4.2,-2.1,4.5
1692090297724,3.5,-1.6,4.2
1692090297740,2.8000000000000003,-1.5,3.8000000000000003
1692090297756,2.3000000000000003,-1.5,3.3000000000000003
1692090297772,0.30000000000000004,-1.6,1.5
1692090297788,-0.9,-2,0.6000000000000001
1692090297804,-2,-3.8000000000000003,-0.7000000000000001
1692090297820,-0.4,-6.300000000000001,0.7000000000000001
1692090297836,0.9,-7.5,2
1692090297852,1.6,-7,2.9000000000000004
1692090297876,-0.8,-7,2.2
1692090297892,-0.9,-10.5,4.5
1692090297908,-0.8,-11.4,5.5
1692090297924,0.1,-10.700000000000001,3.8000000000000003
1692090297940,1.2000000000000002,-11.4,1.6
1692090297956,1.8,-12.200000000000001,2
1692090297972,2.9000000000000004,-12.3,3.5
1692090297988,2.9000000000000004,-12.200000000000001,2.9000000000000004
1692090298004,1.9000000000000001,-12.700000000000001,0
1692090298020,0.9,-13.700000000000001,-1
1692090298036,0,-15.3,3.2
1692090298052,-0.2,-14,6.4
1692090298076,-0.8,-12.5,2.9000000000000004
1692090298092,-1.8,-12.200000000000001,-1.4000000000000001
1692090298108,-2.1,-12.4,-2.4000000000000004
1692090298124,-2.3000000000000003,-12.5,-0.8
1692090298140,-1.9000000000000001,-12.4,-0.2
1692090298156,-1.4000000000000001,-11.8,-0.9
1692090298172,-1.2000000000000002,-11.600000000000001,-2.3000000000000003
1692090298188,-1.2000000000000002,-11.8,-2.6
1692090298204,-0.8,-11.8,-1.8
1692090298220,-0.7000000000000001,-11.600000000000001,-1.5
1692090298236,-1,-11.100000000000001,-2.1
1692090298252,-1.8,-11.200000000000001,-2.6
1692090298276,-2.3000000000000003,-11.600000000000001,-2.3000000000000003
1692090298293,-2.4000000000000004,-11.5,-1.8
1692090298308,-2.2,-11.100000000000001,-1.8
1692090298324,-1.8,-10.4,-2.1
1692090298340,-1.5,-10.100000000000001,-2.5
1692090298356,-1,-9.600000000000001,-2.9000000000000004
1692090298372,-1,-9.4,-2.8000000000000003
1692090298388,-1.1,-9.1,-2.8000000000000003
1692090298404,-1.4000000000000001,-8.8,-2.8000000000000003
1692090298420,-1.5,-8.8,-2.9000000000000004
1692090298436,-1.8,-8.700000000000001,-3.2
1692090298452,-2,-8.700000000000001,-3.3000000000000003
1692090298476,-2.5,-8.9,-3.2
1692090298492,-2.8000000000000003,-8.8,-3
1692090298508,-3.1,-8.9,-3.2
1692090298524,-3.2,-8.8,-3.4000000000000004
1692090298540,-3.4000000000000004,-8.9,-3.7
1692090298556,-3.6,-8.9,-3.6
1692090298572,-3.8000000000000003,-8.8,-3.4000000000000004
1692090298588,-4,-9,-3.3000000000000003
1692090298604,-3.9000000000000004,-9,-3.6
1692090298620,-3.9000000000000004,-8.9,-3.8000000000000003
1692090298636,-3.6,-8.8,-3.7
1692090298652,-3.3000000000000003,-8.6,-3.8000000000000003
1692090298676,-2.8000000000000003,-8.200000000000001,-4.1000000000000005
1692090298692,-2.6,-8.3,-4.1000000000000005
1692090298708,-2.5,-8.4,-4.5
1692090298724,-2.6,-8.200000000000001,-4.800000000000001
1692090298740,-2.7,-8.200000000000001,-5.1000000000000005
1692090298756,-2.6,-8.3,-5.2
1692090298772,-2.5,-8.4,-5
1692090298788,-2.6,-8.5,-4.6000000000000005
1692090298804,-2.5,-8.700000000000001,-5
1692090298820,-2.4000000000000004,-8.6,-5
1692090298836,-2.3000000000000003,-8.8,-5.2
1692090298852,-2.2,-8.8,-5.300000000000001
1692090298876,-2.2,-8.8,-5.9
1692090298892,-2.3000000000000003,-8.700000000000001,-6.5
1692090298908,-2.7,-8.9,-7.7
1692090298924,-2.6,-8.9,-7.9
1692090298940,-2.3000000000000003,-8.700000000000001,-7.9
1692090298956,-1.4000000000000001,-8.3,-8
1692090298972,-1,-8.1,-7.800000000000001
1692090298988,-0.4,-7.6000000000000005,-7.6000000000000005
1692090299004,-0.4,-7.2,-8.1
1692090299020,-0.8,-7.1000000000000005,-9.4
1692090299036,-2.1,-7.2,-9.600000000000001
1692090299052,-2.7,-7.300000000000001,-9.700000000000001
1692090299076,-4,-6.800000000000001,-8.4
1692090299092,-3.9000000000000004,-6.300000000000001,-8
1692090299108,-3.1,-6,-7.6000000000000005
1692090299124,-2.8000000000000003,-5.9,-7.2
1692090299140,-2.6,-5.2,-6.6000000000000005
1692090299156,-2.8000000000000003,-4.6000000000000005,-6.5
1692090299172,-2.9000000000000004,-4.5,-6.7
1692090299188,-3.5,-4.800000000000001,-6.9
1692090299204,-3.8000000000000003,-4.9,-6.5
1692090299220,-4.1000000000000005,-4.6000000000000005,-5.4
1692090299236,-4,-4.3,-5.1000000000000005
1692090299252,-3.6,-4.1000000000000005,-5.7
1692090299277,-2.9000000000000004,-4,-6.300000000000001
1692090299292,-2.6,-3.9000000000000004,-6.5
1692090299308,-2.3000000000000003,-3.9000000000000004,-7
1692090299324,-2.3000000000000003,-4,-7.300000000000001
1692090299340,-2.8000000000000003,-4,-8.200000000000001
1692090299356,-2.9000000000000004,-3.8000000000000003,-8.4
1692090299372,-3,-3.8000000000000003,-8.9
1692090299388,-2.9000000000000004,-3.9000000000000004,-9.4
1692090299404,-2.9000000000000004,-4,-9.700000000000001
1692090299420,-2.6,-3.8000000000000003,-10.3
1692090299436,-2.4000000000000004,-3.8000000000000003,-10.200000000000001
1692090299452,-2.4000000000000004,-3.7,-9.600000000000001
1692090299476,-2,-3.8000000000000003,-9.700000000000001
1692090299492,-1.7000000000000002,-3.8000000000000003,-9.600000000000001
1692090299508,-2,-3.9000000000000004,-9.4
1692090299524,-2,-3.9000000000000004,-9.4
1692090299540,-2.2,-3.9000000000000004,-9.3
1692090299556,-2.4000000000000004,-4,-9
1692090299572,-2.2,-4,-8.4
1692090299588,-1.9000000000000001,-3.9000000000000004,-8.700000000000001
1692090299604,-2,-3.8000000000000003,-9.200000000000001
1692090299620,-2.1,-3.8000000000000003,-9.8
1692090299636,-2.5,-3.9000000000000004,-9.600000000000001
1692090299652,-3.3000000000000003,-4.1000000000000005,-9.1
1692090299676,-3.5,-4.3,-9
1692090299692,-3.6,-4.4,-9.200000000000001
1692090299708,-3.5,-4.5,-9
1692090299724,-3.2,-4.5,-8.700000000000001
1692090299740,-3.2,-4.6000000000000005,-8.200000000000001
1692090299756,-3.3000000000000003,-4.6000000000000005,-8
1692090299772,-3.4000000000000004,-4.800000000000001,-8
1692090299788,-3.5,-4.800000000000001,-7.800000000000001
1692090299804,-3.5,-4.9,-7.4
1692090299820,-3.4000000000000004,-4.9,-7.6000000000000005
1692090299836,-3.4000000000000004,-4.9,-7.7
1692090299852,-3.2,-4.800000000000001,-7.9
1692090299876,-2.8000000000000003,-4.9,-8.4
1692090299892,-3.1,-5,-8.700000000000001
1692090299908,-3.3000000000000003,-5.1000000000000005,-8.8
1692090299924,-3.3000000000000003,-5.6000000000000005,-8.700000000000001
1692090299940,-3,-5.800000000000001,-7.9
1692090299956,-2.9000000000000004,-5.9,-7.2
1692090299972,-2.7,-6.300000000000001,-6.4
1692090299988,-2.6,-6.6000000000000005,-6.4
1692090300004,-2.4000000000000004,-7.4,-7.1000000000000005
1692090300021,-2.3000000000000003,-8,-6.9
1692090300037,-2.3000000000000003,-8.1,-6.7
1692090300052,-2.5,-8.3,-5.6000000000000005
1692090300076,-3.2,-8.700000000000001,-6
1692090300092,-3.4000000000000004,-9.4,-7.1000000000000005
1692090300108,-3,-9.5,-7.1000000000000005
1692090300124,-2,-9.600000000000001,-5.7
1692090300140,-1.3,-9.4,-5
1692090300156,0,-9.3,-3.7
1692090300172,-0.4,-9.8,-4.3
1692090300188,-1,-9.9,-4.9
1692090300204,-1.4000000000000001,-10.4,-5.5
1692090300220,-1.3,-10.200000000000001,-5.5
1692090300236,-0.8,-10.200000000000001,-5.2
1692090300252,-0.5,-10.200000000000001,-5.1000000000000005
1692090300276,-0.6000000000000001,-10.4,-4.800000000000001
1692090300292,-0.6000000000000001,-10.100000000000001,-3.7
1692090300308,-1.1,-10.200000000000001,-4
1692090300324,-1.1,-10.200000000000001,-2.7
1692090300340,-1,-10.3,-2.3000000000000003
1692090300356,-0.30000000000000004,-10.200000000000001,-2.6
1692090300372,0.4,-10.100000000000001,-2.5
1692090300388,0.8,-9.700000000000001,-2.3000000000000003
1692090300404,1.6,-9.5,-2.9000000000000004
1692090300420,2.1,-9.3,-2.9000000000000004
1692090300436,1.8,-9.1,-3
1692090300452,1.1,-8.700000000000001,-1.6
1692090300476,1.4000000000000001,-8.9,-1.1
1692090300492,2.2,-8.4,-1.4000000000000001
1692090300508,2.3000000000000003,-8.200000000000001,-1.2000000000000002
1692090300524,2,-8.200000000000001,-1
1692090300540,2,-8.3,-0.6000000000000001
1692090300556,1.4000000000000001,-8.3,0.1
1692090300572,1.2000000000000002,-8.200000000000001,0.6000000000000001
1692090300588,1.2000000000000002,-8.200000000000001,1.1
1692090300604,1.4000000000000001,-8.3,2.7
1692090300620,1.4000000000000001,-8.200000000000001,3.4000000000000004
1692090300636,2,-8.4,4.5
1692090300652,2.3000000000000003,-8.200000000000001,5
1692090300676,2.7,-7.800000000000001,4.6000000000000005
1692090300692,2.7,-7.9,4.1000000000000005
1692090300708,2.7,-8.1,3.7
1692090300724,2.8000000000000003,-7.800000000000001,4.4
1692090300740,3.1,-7.800000000000001,4.7
1692090300756,3.5,-7.6000000000000005,4.9
1692090300772,3.4000000000000004,-7.5,5
1692090300788,2.7,-7.6000000000000005,5.2
1692090300804,1.6,-7.9,5.1000000000000005
1692090300820,1.3,-8,5
1692090300836,1.3,-8.200000000000001,5.2
1692090300852,1.5,-8,5.2
1692090300876,1.2000000000000002,-7.7,3.8000000000000003
1692090300892,1,-7.9,3.2
1692090300908,1,-8.1,2.8000000000000003
1692090300924,1.4000000000000001,-8.3,3.6
1692090300940,1.5,-8.4,3.6
1692090300956,1.9000000000000001,-8.700000000000001,4.4
1692090300972,2.1,-8.6,4.7
1692090300988,2.1,-8.4,5.2
1692090301004,1.8,-8.200000000000001,4.7
1692090301020,1.8,-8.4,4.6000000000000005
1692090301036,2.3000000000000003,-8.6,4.6000000000000005
1692090301052,2.5,-8.5,4.7
1692090301076,3.2,-8.200000000000001,4.800000000000001
1692090301092,3.1,-7.9,5
1692090301108,2.9000000000000004,-7.9,5.2
1692090301125,3,-8,5.2
1692090301140,3.1,-7.9,5.2
1692090301156,3.1,-7.7,5.1000000000000005
