timestamp,x,y,z
1692093414611,3.6,-0.5,9.4
1692093414627,2.8000000000000003,-0.5,8.5
1692093414644,2.6,-0.5,7.800000000000001
1692093414667,3.2,-0.9,6.1000000000000005
1692093414683,4.5,-0.7000000000000001,6.5
1692093414699,6.6000000000000005,-0.5,6.5
1692093414715,7.300000000000001,-0.6000000000000001,6.5
1692093414731,8.6,-1.1,5.7
1692093414747,9.200000000000001,-1.3,4.6000000000000005
1692093414763,9.5,-1.5,4.7
1692093414779,10.9,-1.6,4.5
1692093414795,11.8,-1.7000000000000002,4.2
1692093414811,14.5,-1.9000000000000001,2.9000000000000004
1692093414827,15.5,-3.2,3.4000000000000004
1692093414851,15.700000000000001,-4,4.4
1692093414867,15.8,-4.9,5.9
1692093414883,16.2,-5.1000000000000005,6.800000000000001
1692093414899,16.1,-5.800000000000001,8.5
1692093414915,15.4,-6.4,9.700000000000001
1692093414931,13.100000000000001,-8,11.700000000000001
1692093414947,12.600000000000001,-9.9,13.700000000000001
1692093414963,12.700000000000001,-10,14.700000000000001
1692093414979,10.8,-10.200000000000001,15.5
1692093414995,8.9,-10.700000000000001,15.5
1692093415011,2.6,-12,15.200000000000001
1692093415027,-0.8,-12.200000000000001,15
1692093415051,-7.800000000000001,-10.3,15.600000000000001
1692093415067,-8,-9,16.5
1692093415083,-8.1,-7.300000000000001,15.5
1692093415099,-7.7,-5.5,13.600000000000001
1692093415115,-6.9,-4.9,12.100000000000001
1692093415131,-5.5,-3.9000000000000004,9.4
1692093415147,-4.800000000000001,-3.3000000000000003,8.9
1692093415163,-4.4,-3.1,9.8
1692093415179,-4.7,-3.2,11.100000000000001
1692093415195,-4.9,-3.2,11.100000000000001
1692093415211,-5.1000000000000005,-2.7,10
1692093415231,-4.7,-1.7000000000000002,7.800000000000001
1692093415251,-4,-0.7000000000000001,5.2
1692093415267,-3.5,-0.1,4
1692093415283,-1.9000000000000001,1.1,2.2
1692093415300,-0.9,1.8,1.5
1692093415315,-0.6000000000000001,1.9000000000000001,1.5
1692093415331,-0.2,1.7000000000000002,1.7000000000000002
1692093415347,-0.1,1.5,1.8
1692093415363,0.2,1.2000000000000002,2.6
1692093415379,0.2,0.9,3.5
1692093415395,0.1,0.7000000000000001,3.9000000000000004
1692093415411,0.7000000000000001,0.4,4.2
1692093415427,1.1,0.30000000000000004,4.1000000000000005
1692093415451,2,0.1,3.3000000000000003
1692093415467,2.2,-0.2,2.7
1692093415483,2.7,-0.5,2.8000000000000003
1692093415499,3,-0.30000000000000004,3.2
1692093415515,3.6,-0.1,2.6
1692093415531,3.6,-0.9,2.4000000000000004
1692093415547,3.5,-1.5,3.2
1692093415563,3.5,-2.8000000000000003,4.9
1692093415579,4,-2.7,5
1692093415595,4.9,-2.5,2.7
1692093415611,5.7,-2.9000000000000004,3
1692093415627,5.5,-3.4000000000000004,4.3
1692093415651,4.9,-4.3,4.5
1692093415667,5,-4.6000000000000005,3.2
1692093415683,5.4,-6.1000000000000005,4.9
1692093415699,5.800000000000001,-7,6.5
1692093415715,7.4,-8.4,6.300000000000001
1692093415731,10.4,-8.8,4.800000000000001
1692093415747,11.9,-8.6,5.1000000000000005
1692093415763,11.9,-9.200000000000001,6.6000000000000005
1692093415779,10.700000000000001,-10,7.1000000000000005
1692093415795,8.1,-13,7
1692093415811,8.6,-14.3,8.200000000000001
1692093415827,9.600000000000001,-13.700000000000001,8.8
1692093415851,10.200000000000001,-13.100000000000001,8.1
1692093415867,9,-13.8,6.4
1692093415883,7.6000000000000005,-14.9,7.7
1692093415901,7.1000000000000005,-14.9,8.5
1692093415915,6.5,-14.700000000000001,8.4
1692093415931,6.6000000000000005,-14.700000000000001,8
1692093415947,6.300000000000001,-15,7.1000000000000005
