timestamp,x,y,z
1692093406274,4.2,-0.4,10
1692093406283,3.9000000000000004,-0.4,9.9
1692093406299,3.5,-0.30000000000000004,9.600000000000001
1692093406315,3,-0.2,9.4
1692093406331,2.1,-0.30000000000000004,9
1692093406347,1.7000000000000002,-0.4,8.700000000000001
1692093406363,1.5,-0.4,8.4
1692093406379,1.5,-0.6000000000000001,7.7
1692093406395,2.3000000000000003,-0.9,7.1000000000000005
1692093406411,4.9,-1.3,6.800000000000001
1692093406427,7.800000000000001,-0.8,4.9
1692093406451,9.200000000000001,-1.3,2.8000000000000003
1692093406467,11.700000000000001,-2.6,2.9000000000000004
1692093406483,13.5,-3,3.6
1692093406499,15.600000000000001,-3.9000000000000004,5.5
1692093406515,15.700000000000001,-4.6000000000000005,6.4
1692093406531,16,-5.4,7.6000000000000005
1692093406547,16.5,-5.7,7.7
1692093406563,16.6,-6.1000000000000005,7.9
1692093406579,15.5,-7.2,10
1692093406595,14.9,-7.7,11.700000000000001
1692093406611,14.8,-9,14.5
1692093406627,15.3,-9.3,15.100000000000001
1692093406652,13.100000000000001,-10,15.9
1692093406667,11.4,-10.3,16.400000000000002
1692093406683,7,-10.9,17
1692093406699,3.8000000000000003,-11.3,19.1
1692093406715,2.2,-10.9,19.8
1692093406731,-0.4,-8.8,19.3
1692093406747,-2,-7.9,17.900000000000002
1692093406763,-4.7,-6.1000000000000005,13.600000000000001
1692093406779,-6.9,-5.1000000000000005,10.3
1692093406795,-7,-4.7,9.700000000000001
1692093406811,-6.5,-3.5,9.8
1692093406827,-7,-3.3000000000000003,9.9
1692093406851,-8.9,-4,10.3
1692093406867,-9.3,-4.1000000000000005,10.200000000000001
1692093406883,-9.8,-3.5,9.1
1692093406900,-9.8,-3.2,7.9
1692093406915,-8.6,-2,4.6000000000000005
1692093406931,-7.1000000000000005,-0.9,1.4000000000000001
1692093406947,-6.5,-0.30000000000000004,-0.4
1692093406963,-5.5,0.1,-2.1
1692093406979,-5.5,-0.2,-1.3
1692093406995,-5.800000000000001,-0.7000000000000001,-0.5
1692093407011,-6.2,-2.1,0.9
1692093407027,-6.5,-2.9000000000000004,1.5
1692093407051,-3.9000000000000004,-4.2,1
1692093407067,-2.4000000000000004,-4.7,0.6000000000000001
1692093407083,0.9,-5.2,0.7000000000000001
1692093407099,2.7,-5.1000000000000005,1.1
1692093407115,5.2,-3.6,0.9
1692093407131,4.9,-2.7,2.2
1692093407147,4.3,-2.9000000000000004,2.1
1692093407163,2.9000000000000004,-4.6000000000000005,-0.1
1692093407179,3,-5.5,0.30000000000000004
1692093407195,4.3,-6.800000000000001,4
1692093407211,6.2,-8.8,4.800000000000001
1692093407227,8.1,-10.200000000000001,4.6000000000000005
1692093407252,13.100000000000001,-12.3,6.300000000000001
1692093407267,14,-13.3,6.6000000000000005
1692093407283,14,-14.700000000000001,6.4
1692093407299,13.200000000000001,-15.4,5.5
1692093407315,12.700000000000001,-16.900000000000002,3.6
1692093407331,14.3,-18.8,5
1692093407347,15.100000000000001,-19,6.800000000000001
1692093407363,15,-19.200000000000003,8.9
1692093407379,14.3,-19.400000000000002,8.200000000000001
1692093407395,12.100000000000001,-19.900000000000002,6.4
1692093407411,10.8,-20.700000000000003,5.9
1692093407427,10.9,-20.6,6
1692093407452,11.700000000000001,-20.8,5.300000000000001
1692093407467,12.700000000000001,-22.1,5.4
1692093407483,13.3,-24.200000000000003,8.700000000000001
1692093407499,12,-24.900000000000002,10.9
1692093407515,7.9,-25.700000000000003,13.8
1692093407531,5.800000000000001,-25.400000000000002,14.100000000000001
1692093407547,4.1000000000000005,-24.3,13.4
1692093407563,4.7,-21.5,9.700000000000001
1692093407579,4.3,-20.1,7.300000000000001
1692093407595,2.4000000000000004,-19,4
1692093407612,0.1,-19,3.5
1692093407627,-4.7,-18,4.6000000000000005
1692093407651,-8.6,-15.9,4.5
1692093407667,-10.3,-13,3.3000000000000003
1692093407683,-10.100000000000001,-9.200000000000001,1.1
1692093407699,-9.5,-7.4,0.6000000000000001
1692093407715,-9.3,-4.6000000000000005,1.1
1692093407731,-9,-3.6,2
1692093407747,-7.5,-1.8,4.800000000000001
1692093407763,-5.4,-0.8,5.9
1692093407779,-4.3,-0.5,5.9
1692093407795,-1.8,0.7000000000000001,5.6000000000000005
1692093407811,-0.9,1.4000000000000001,5
1692093407827,0.30000000000000004,2.4000000000000004,5
1692093407851,0.4,2.6,5.6000000000000005
1692093407867,0.5,2.8000000000000003,6.300000000000001
1692093407884,1.3,2.5,7.4
1692093407899,2.2,2.6,7.7
1692093407915,3.8000000000000003,3,7.7
1692093407931,4,3.3000000000000003,7.2
1692093407947,3.8000000000000003,3,7
1692093407963,3.8000000000000003,2.8000000000000003,7
1692093407979,4.1000000000000005,2.6,7.6000000000000005
1692093407995,4.2,2.5,8.5
1692093408011,4.3,2.4000000000000004,8.6
1692093408027,4.3,2.3000000000000003,8.4
1692093408052,4.5,2.1,8.4
1692093408067,4.6000000000000005,1.8,8.3
1692093408084,4.800000000000001,1.9000000000000001,8.200000000000001
1692093408099,4.6000000000000005,1.7000000000000002,8.3
