timestamp,x,y,z
1692086663526,-2.9000000000000004,-2.4000000000000004,12.3
1692086663543,-2.9000000000000004,-2.5,11.4
1692086663560,-2.4000000000000004,-2.6,8.8
1692086663583,-0.9,-2.4000000000000004,4.4
1692086663599,1.9000000000000001,-3.2,0
1692086663615,4.2,-4.7,-0.2
1692086663631,8.200000000000001,-5.4,1.6
1692086663647,12.700000000000001,-7.1000000000000005,3.1
1692086663663,14.600000000000001,-8,3.8000000000000003
1692086663679,16.7,-9.3,4.6000000000000005
1692086663695,17.400000000000002,-10.100000000000001,5
1692086663711,18.7,-11.9,6.2
1692086663727,20.3,-13.3,9
1692086663743,21.3,-14.100000000000001,10.4
1692086663759,22.400000000000002,-15,11.9
1692086663783,21.700000000000003,-16.400000000000002,11.200000000000001
1692086663799,18.400000000000002,-18.1,10
1692086663815,16.8,-18.6,10
1692086663831,13.700000000000001,-19.400000000000002,10.3
1692086663847,11.600000000000001,-18.6,9
1692086663863,10.8,-18,8.1
1692086663880,8.8,-16.5,4.4
1692086663896,8,-16,2.7
1692086663911,5,-14.8,-0.7000000000000001
1692086663928,3.2,-14.5,-1.9000000000000001
1692086663944,-0.4,-13.700000000000001,-4
1692086663959,-2.9000000000000004,-12,-4.2
1692086663984,-6.300000000000001,-10.200000000000001,-2.5
1692086663999,-10.600000000000001,-7.4,-0.5
1692086664016,-12.4,-5.7,0.8
1692086664032,-13.8,-4.5,2
1692086664047,-17.6,-3.3000000000000003,6.2
1692086664063,-20.3,-2.7,11.200000000000001
1692086664079,-20.3,-2,12.9
1692086664095,-20,-1.6,12.9
1692086664111,-18.1,-1,10.5
1692086664127,-16.5,-0.5,8.200000000000001
1692086664143,-13.100000000000001,0.2,4.4
1692086664160,-10.5,-0.2,3.2
1692086664183,-9,-1.6,3.9000000000000004
1692086664200,-7.5,-3.4000000000000004,4.800000000000001
1692086664216,-7,-4.1000000000000005,4.3
1692086664232,-4.800000000000001,-5.300000000000001,0.5
1692086664247,-3.6,-5.7,-0.9
1692086664264,-1.1,-7,-2
1692086664280,2.1,-7.6000000000000005,-1.4000000000000001
1692086664296,3.9000000000000004,-7.4,-1.2000000000000002
1692086664312,4.9,-7,-1.5
1692086664328,6.1000000000000005,-8.700000000000001,-3.3000000000000003
