timestamp,x,y,z
1692086647710,3.8000000000000003,-0.30000000000000004,8.5
1692086647727,3.6,-0.30000000000000004,8.200000000000001
1692086647743,3.4000000000000004,-0.30000000000000004,8.200000000000001
1692086647767,3.5,-0.30000000000000004,8.5
1692086647783,3.6,-0.2,8.5
1692086647799,3.7,-0.2,8.3
1692086647815,3.7,-0.4,8.5
1692086647831,3.8000000000000003,-0.5,8.5
1692086647847,3.9000000000000004,-0.6000000000000001,8.4
1692086647863,3.9000000000000004,-0.8,8.5
1692086647879,4.3,-0.9,8.6
1692086647895,4.6000000000000005,-0.8,8.8
1692086647911,4.7,-0.8,8.8
1692086647927,4.5,-1.1,8.700000000000001
1692086647943,4.2,-1,8.700000000000001
1692086647967,4.1000000000000005,-0.9,8.6
1692086647983,4.3,-0.8,8.4
1692086647999,4.5,-0.5,8.200000000000001
1692086648015,4.4,-0.5,8.1
1692086648031,3.8000000000000003,-0.7000000000000001,8.4
1692086648047,3.4000000000000004,-0.7000000000000001,8.3
1692086648064,3.4000000000000004,-0.7000000000000001,8.1
1692086648083,3.5,-0.6000000000000001,8.1
1692086648096,3.9000000000000004,-0.4,8.1
1692086648112,3.7,-0.6000000000000001,8.1
1692086648128,3.5,-0.6000000000000001,8.3
1692086648144,2.8000000000000003,-0.6000000000000001,8.3
1692086648168,2.5,-0.6000000000000001,8.3
1692086648184,2.3000000000000003,-0.7000000000000001,8.1
1692086648200,1.9000000000000001,-1.2000000000000002,8.200000000000001
1692086648216,1.6,-1.3,8.200000000000001
1692086648232,1.6,-1.6,6.6000000000000005
1692086648248,2.6,-2.1,5.7
1692086648264,8,-3.4000000000000004,4.800000000000001
1692086648280,14.4,-2.6,6.2
1692086648296,15.200000000000001,-2.4000000000000004,6.5
1692086648311,14.9,-3,5.9
1692086648327,14.4,-3.6,5.6000000000000005
1692086648343,13.8,-4.2,6.1000000000000005
1692086648368,15.200000000000001,-4.6000000000000005,7.2
1692086648384,17.3,-5.6000000000000005,10.100000000000001
1692086648400,17.7,-6.9,12.200000000000001
1692086648416,17.5,-7.4,12.4
1692086648432,17,-8.1,12.3
1692086648448,17.2,-8.3,12.5
1692086648464,16.3,-9,12.600000000000001
1692086648480,15.600000000000001,-9.3,12.600000000000001
1692086648496,13.8,-9.4,11.8
1692086648512,11.8,-9.3,9.700000000000001
1692086648528,11.100000000000001,-9.1,8.8
1692086648545,10.200000000000001,-8.700000000000001,6.4
1692086648568,9.200000000000001,-8.6,4.4
1692086648583,7.4,-8.4,2.1
1692086648600,3.6,-9.1,0.2
1692086648615,1.6,-9,-1.1
1692086648631,-1.7000000000000002,-8.4,-2.1
1692086648648,-3.2,-7.9,-2.4000000000000004
1692086648664,-5.6000000000000005,-6.6000000000000005,-0.9
1692086648682,-6.6000000000000005,-5.800000000000001,0.6000000000000001
1692086648695,-8,-3.6,3.1
1692086648712,-9.200000000000001,-0.5,4.6000000000000005
1692086648727,-9.8,1,4.9
1692086648743,-10.600000000000001,3.2,5.5
1692086648767,-11.5,4.3,6.9
1692086648783,-12.200000000000001,4.4,8
1692086648799,-12.600000000000001,4.2,8.4
1692086648815,-12.600000000000001,3.8000000000000003,9
1692086648831,-11.4,3.7,9.200000000000001
1692086648847,-10.700000000000001,3.7,9.3
1692086648863,-9.4,3.5,8.6
