timestamp,x,y,z
1692086623865,3.1,-1.5,8.700000000000001
1692086623878,2.8000000000000003,-1.4000000000000001,8.6
1692086623896,2.4000000000000004,-1.2000000000000002,8.6
1692086623911,2.2,-1,8.6
1692086623927,2.2,-0.9,8.5
1692086623951,1.2000000000000002,-1.1,8
1692086623968,0.8,-1.3,8.1
1692086623983,0.2,-1.5,8.200000000000001
1692086623999,0,-1.6,8
1692086624015,0.2,-1.9000000000000001,7.300000000000001
1692086624031,1.5,-2.7,7.5
1692086624047,2.5,-3,7.300000000000001
1692086624064,4.3,-2.8000000000000003,6.6000000000000005
1692086624080,4.4,-2.7,5.9
1692086624095,4.6000000000000005,-3.3000000000000003,4
1692086624111,7,-4.9,3.4000000000000004
1692086624127,9.3,-5.800000000000001,3.8000000000000003
1692086624152,14.600000000000001,-6.1000000000000005,7.6000000000000005
1692086624168,16.5,-6.2,8.700000000000001
1692086624183,17.6,-6.4,8.200000000000001
1692086624199,17.2,-7,6.7
1692086624215,17.6,-9,7.300000000000001
1692086624232,18.900000000000002,-9.5,9.700000000000001
1692086624248,19.200000000000003,-10.5,12.200000000000001
1692086624264,17.6,-11.9,11.3
1692086624280,16.7,-12.4,10.700000000000001
1692086624296,15.700000000000001,-12.3,10.600000000000001
1692086624312,15.200000000000001,-12.100000000000001,10
1692086624328,14.200000000000001,-11.4,8.5
1692086624352,12.600000000000001,-10.8,6.300000000000001
1692086624368,10.5,-10.100000000000001,3.8000000000000003
1692086624384,8.3,-9.5,1.1
1692086624400,7.2,-9.200000000000001,0.4
1692086624416,4.9,-9.1,-0.8
1692086624431,3.6,-8.9,-1.4000000000000001
1692086624448,1.1,-8.9,-2.2
1692086624464,-0.8,-8.3,-1.5
1692086624480,-2.3000000000000003,-7.9,-1.5
1692086624496,-5.7,-6.4,-0.6000000000000001
1692086624511,-7.2,-5.300000000000001,0.5
1692086624528,-9.5,-3,3.8000000000000003
1692086624551,-11.5,-1.5,7.300000000000001
1692086624568,-14.700000000000001,-0.30000000000000004,11.200000000000001
1692086624584,-16.3,0.2,12
1692086624599,-17.5,0.8,12.100000000000001
1692086624615,-16.7,0.6000000000000001,12.4
1692086624632,-16,0.5,12.3
1692086624647,-14.200000000000001,0.30000000000000004,11
1692086624664,-12.9,0,9.700000000000001
1692086624680,-10.4,-1.2000000000000002,6.300000000000001
