timestamp,x,y,z
1692086639766,3.2,1.5,8.6
1692086639783,3.1,1.5,8.700000000000001
1692086639799,3.2,1.6,8.700000000000001
1692086639816,2.7,1.3,8.200000000000001
1692086639831,1.2000000000000002,0.7000000000000001,7.9
1692086639848,0.9,0.6000000000000001,7.5
1692086639863,1.8,0.5,5.5
1692086639880,2.9000000000000004,0.1,4.3
1692086639895,6.5,-0.2,2.9000000000000004
1692086639911,8.3,-1.7000000000000002,4.3
1692086639927,9.1,-2.8000000000000003,5.800000000000001
1692086639943,11.200000000000001,-2.8000000000000003,6.300000000000001
1692086639967,14,-2.5,4.3
1692086639983,18,-3,3.1
1692086639999,19.6,-3,3.8000000000000003
1692086640015,19.6,-4.1000000000000005,7.1000000000000005
1692086640031,19.700000000000003,-5.9,11
1692086640047,19.900000000000002,-6.5,12.100000000000001
1692086640064,20.6,-7.2,12.8
1692086640080,20.900000000000002,-7.2,12.4
1692086640095,20.6,-7.9,10.5
1692086640112,20.1,-8.200000000000001,9.9
1692086640127,18.5,-8.6,9
1692086640143,17,-9.600000000000001,9
1692086640169,14.3,-10,8.8
1692086640184,8.9,-9.8,6.1000000000000005
1692086640201,6.6000000000000005,-9.5,4.800000000000001
1692086640215,2.9000000000000004,-8.6,1.9000000000000001
1692086640232,1.7000000000000002,-8.1,1.2000000000000002
1692086640247,-1.2000000000000002,-7.300000000000001,1.1
1692086640264,-3.7,-6.300000000000001,1.5
1692086640279,-4.7,-5.5,1.6
1692086640296,-7.2,-4.2,2.4000000000000004
1692086640312,-9.200000000000001,-3.4000000000000004,3.8000000000000003
1692086640328,-13.3,-2.3000000000000003,5.7
1692086640344,-16.5,-1.1,5.9
1692086640368,-17.8,0,6.2
1692086640384,-17.7,0.2,6.5
1692086640400,-16.6,0,6.6000000000000005
1692086640416,-13.9,0,6
1692086640432,-12.4,-0.1,5.4
1692086640448,-9.700000000000001,-1,3.8000000000000003
1692086640464,-7.300000000000001,-1.7000000000000002,2.1
1692086640480,-5.800000000000001,-2,2
1692086640496,-2.9000000000000004,-2.5,2.2
1692086640512,-1.3,-2.9000000000000004,2.1
1692086640528,1.8,-4,1.3
1692086640543,5,-3.8000000000000003,1.2000000000000002
1692086640568,5.9,-5,-1.5
1692086640584,6.5,-5.800000000000001,-3.3000000000000003
1692086640600,10.3,-7.5,-4.4
1692086640616,14.3,-8,-2.1
1692086640632,15,-8.700000000000001,-1.2000000000000002
1692086640648,16.1,-10.4,0.4
1692086640664,16.900000000000002,-10.8,1.2000000000000002
1692086640680,18.3,-10.8,0.4
1692086640696,19.900000000000002,-10.8,0.1
1692086640712,19.900000000000002,-10.9,0.30000000000000004
1692086640728,18.3,-11.5,0
1692086640744,16.900000000000002,-12.100000000000001,0.30000000000000004
1692086640768,16.7,-12.3,3.1
1692086640784,17.2,-12.3,3.9000000000000004
1692086640800,17.2,-12.200000000000001,4.9
1692086640816,16.5,-12.4,4.5
1692086640832,16.400000000000002,-12.200000000000001,4.6000000000000005
1692086640848,16.5,-12.9,5.6000000000000005
1692086640864,16.5,-13.3,6.6000000000000005
1692086640880,14.8,-14.600000000000001,8.8
1692086640896,13.8,-14.700000000000001,8.9
1692086640912,11.4,-14.600000000000001,8.8
1692086640928,9.9,-13.700000000000001,9.600000000000001
1692086640944,9.600000000000001,-13.4,9.8
1692086640967,8.4,-11.8,10.5
1692086640984,7.800000000000001,-11.3,10.4
1692086641000,6.4,-9.8,8.3
1692086641016,5.800000000000001,-9.3,6.1000000000000005
1692086641032,4.9,-7.6000000000000005,2.5
1692086641047,3.3000000000000003,-5.4,1
1692086641064,2.4000000000000004,-4.9,1.6
1692086641080,-0.7000000000000001,-4.5,1.9000000000000001
1692086641096,-2.4000000000000004,-3.9000000000000004,2.6
1692086641112,-4.5,-2.7,3.6
1692086641128,-5.9,-1.6,2.9000000000000004
1692086641144,-5.9,-1,1.6
1692086641168,-5.800000000000001,0.9,-0.7000000000000001
1692086641184,-5.9,1.6,-0.7000000000000001
1692086641200,-6.300000000000001,2.5,-1.2000000000000002
1692086641216,-6.2,2.6,-1.3
1692086641231,-5.4,2.5,-1.7000000000000002
1692086641247,-4.2,1.9000000000000001,-0.5
1692086641264,-3.4000000000000004,1.7000000000000002,0.8
1692086641280,-1.8,1.5,3.2
1692086641296,-1,1.6,3.7
1692086641312,0.1,1.5,3
1692086641328,1.7000000000000002,0.5,2.1
1692086641344,2.6,0.5,0.4
1692086641368,4.7,0.7000000000000001,0.2
1692086641384,5.1000000000000005,0.8,1.6
